EEG file,Fp1-AVE,Fp2-AVE,F3-AVE,F4-AVE,C3-AVE,C4-AVE,P3-AVE,P4-AVE,O1-AVE,O2-AVE,F7-AVE,F8-AVE,T3-AVE,T4-AVE,T5-AVE,T6-AVE,Fz-AVE,Cz-AVE,Pz-AVE
1 (Max),0.00028181533,0.00026274926,0.0001474851,0.00016287225,0.00013268381,0.00010958986,0.0010390094,0.00077981316,0.0016869324,0.00039305392,0.00019678325,0.00013157388,0.00014001079,0.00013775186,0.0001085275,0.00036902312,0.00013180576,0.00015402907,0.00023956066
1 (Min),-0.0002504632,-0.00027002025,-0.00024022596,-0.00020784419,-0.00023601134,-0.000253847,-0.00075895496,-0.0004164269,-0.0011266,-0.00029297319,-0.00016592121,-0.00025658554,-0.00023315445,-0.00025563998,-0.00030448425,-0.0001885297,-0.0002258554,-0.00024119044,-0.00012477564
1 (Q-90%),-1.6564292e-05,-1.7156093e-05,-8.728677e-06,-9.65662e-06,-8.076847e-06,-8.117002e-06,-1.4044488e-05,-1.1757654e-05,-1.47443325e-05,-1.3252305e-05,-1.3055251e-05,-1.0803371e-05,-9.266851e-06,-8.880885e-06,-9.786191e-06,-1.0212687e-05,-8.878605e-06,-9.879638e-06,-1.0324706e-05
1 (Q2),-1.6546323e-07,-1.5347047e-07,-3.336649e-08,-9.790392e-08,8.765252e-08,1.0677462e-07,1.9172003e-07,1.8989964e-07,-1.8440477e-07,-1.1035958e-07,1.6892544e-08,-6.075062e-08,1.3836782e-07,1.3681591e-07,1.8975555e-07,1.7370459e-07,-5.2979047e-08,4.013713e-08,2.1534765e-07
1 (Q-10%),1.5132165e-05,1.5989259e-05,8.922654e-06,9.985719e-06,8.220721e-06,8.245823e-06,1.3601353e-05,1.1081089e-05,1.4605204e-05,1.3280308e-05,1.3198158e-05,1.1031373e-05,9.478357e-06,9.051297e-06,9.971886e-06,1.016519e-05,9.117377e-06,9.994141e-06,1.0325945e-05
1 (Mean),1.7663372e-09,-3.8159909e-10,1.5642163e-09,9.0818096e-11,1.4005286e-09,-1.4637173e-09,-1.6118773e-10,-3.2570753e-09,6.7402944e-11,-1.2198454e-09,2.5772668e-09,-3.118127e-10,1.7167864e-09,-8.7459473e-10,1.7997067e-09,-7.7987017e-10,-9.537362e-10,-6.688269e-10,-9.10815e-10
1 (Std),2.5795782e-05,2.5628033e-05,8.681874e-06,9.745221e-06,8.143852e-06,8.333728e-06,2.5037585e-05,2.035973e-05,4.5463294e-05,1.5441181e-05,1.3044936e-05,1.0710365e-05,9.549556e-06,9.278849e-06,1.0121307e-05,1.3093985e-05,8.679991e-06,9.465343e-06,9.560773e-06
2 (Max),0.00023130864,0.0002252461,9.989907e-05,0.000104146944,0.00010482432,0.00011864905,0.00010322984,0.00013342958,0.0016543984,0.00029426694,0.000114953604,0.00011119989,0.00010740967,0.000110589324,0.0004847585,0.00011304136,9.5168485e-05,0.00011040049,0.00012706633
2 (Min),-0.00012814725,-0.00014187407,-0.00010903022,-0.00010782845,-8.418133e-05,-9.2246795e-05,-9.4486364e-05,-8.693778e-05,-0.0018403304,-0.00071546336,-0.00016472985,-0.0001330753,-0.00012539046,-0.00010482054,-0.0007295766,-8.302319e-05,-0.000110944886,-8.999872e-05,-9.679339e-05
2 (Q-90%),-2.0659278e-05,-2.1978743e-05,-1.4667416e-05,-1.5588903e-05,-1.2763212e-05,-1.2768811e-05,-1.4442204e-05,-1.5733855e-05,-5.8044476e-05,-2.1670705e-05,-2.0728932e-05,-2.0012183e-05,-1.6545613e-05,-1.6702263e-05,-1.715859e-05,-1.53124e-05,-1.3295056e-05,-1.4480229e-05,-1.5127217e-05
2 (Q2),-1.6665439e-07,-1.700445e-07,8.000392e-09,1.3237667e-08,3.434907e-08,-9.357413e-08,-4.8500052e-08,-2.2143453e-07,-6.9703094e-07,-4.9982134e-07,3.683051e-07,3.9041961e-07,3.4745506e-07,1.5156891e-07,-4.229149e-08,-1.5386951e-07,-1.3821494e-07,-1.3130293e-07,-3.4456127e-07
2 (Q-10%),1.9512674e-05,2.090925e-05,1.460031e-05,1.5677435e-05,1.2850498e-05,1.2871852e-05,1.4632995e-05,1.605057e-05,5.3795742e-05,2.2259206e-05,1.9695166e-05,1.9227908e-05,1.615988e-05,1.6087804e-05,1.7107093e-05,1.5410864e-05,1.3510705e-05,1.4680984e-05,1.6056081e-05
2 (Mean),4.9984266e-09,-1.7908174e-08,2.3740385e-09,-1.5346556e-08,2.2092884e-08,-1.4916907e-08,2.4778183e-08,1.0087128e-08,-2.3646483e-09,9.075892e-09,8.562143e-09,-3.781262e-08,1.05397975e-08,-3.4162024e-08,1.8297523e-08,-5.7670944e-09,-8.774211e-09,9.753858e-10,2.5270921e-08
2 (Std),1.9669698e-05,2.0242187e-05,1.3245386e-05,1.3869041e-05,1.1918128e-05,1.2086291e-05,1.3225571e-05,1.4196529e-05,0.00014260602,3.0808453e-05,1.7318347e-05,1.6958857e-05,1.4652367e-05,1.4588889e-05,3.273592e-05,1.377298e-05,1.224426e-05,1.2852864e-05,1.3971761e-05
3 (Max),0.00033599205,0.00031575238,0.00012648833,0.00010438605,7.7440985e-05,9.048914e-05,0.00011482585,8.771264e-05,0.0015956552,0.0010033054,0.00011809601,0.00010967799,8.5807216e-05,0.00011381079,0.0005615548,0.00013506813,9.230125e-05,8.129772e-05,8.361271e-05
3 (Min),-0.00028654755,-0.0002273267,-0.00015964275,-0.0001445994,-0.000115509094,-0.0001201037,-0.00013397663,-0.00014962722,-0.0017351027,-0.00045761137,-0.00011002427,-0.00010341882,-0.000102220874,-0.00011994438,-0.0004920216,-0.00017726001,-9.948557e-05,-0.00012007571,-0.00013735968
3 (Q-90%),-2.5626814e-05,-2.8123923e-05,-1.510537e-05,-1.6139806e-05,-1.2645557e-05,-1.2744692e-05,-1.5395799e-05,-1.7038472e-05,-3.1458603e-05,-1.8099508e-05,-2.1334039e-05,-2.0836187e-05,-1.8604518e-05,-1.7375454e-05,-1.8013845e-05,-1.6067364e-05,-1.4154538e-05,-1.4419031e-05,-1.685088e-05
3 (Q2),-6.3267663e-07,-6.2513243e-07,1.14228136e-07,5.977618e-08,2.8465426e-09,5.109902e-09,-6.646136e-09,-1.121019e-07,-2.3013745e-06,-1.0510819e-08,3.834999e-07,5.4457564e-07,4.1905133e-07,1.7044684e-07,3.651509e-07,8.845457e-09,-1.70292e-07,-1.8586098e-07,-1.4501771e-07
3 (Q-10%),2.5093012e-05,2.7323113e-05,1.5137411e-05,1.6377464e-05,1.280759e-05,1.2710869e-05,1.538845e-05,1.7205968e-05,3.7799902e-05,1.7077295e-05,2.0742144e-05,1.9738414e-05,1.7900102e-05,1.7320635e-05,1.7522416e-05,1.621644e-05,1.4550638e-05,1.4799479e-05,1.725763e-05
3 (Mean),1.613832e-08,3.6143753e-08,-2.1260782e-09,9.34403e-09,-8.548816e-09,7.926278e-09,-4.387478e-09,-1.1371458e-09,-6.0590257e-09,-1.6610484e-08,-1.6446997e-08,7.15334e-09,-1.4456942e-08,3.2066048e-09,-1.0705239e-08,-3.096045e-09,4.338099e-09,5.313618e-09,-5.989806e-09
3 (Std),3.0695897e-05,3.1518088e-05,1.3371826e-05,1.3828212e-05,1.1029087e-05,1.1081754e-05,1.3542797e-05,1.4609531e-05,9.057465e-05,3.791452e-05,1.703791e-05,1.673061e-05,1.5092184e-05,1.4973077e-05,2.6178097e-05,1.458496e-05,1.2423792e-05,1.2415493e-05,1.458989e-05
4 (Max),0.0003151462,0.00043323732,0.0006278733,7.164698e-05,6.96218e-05,0.00010441255,7.3890005e-05,0.00022305903,0.00012820047,0.00016459853,0.0001368438,0.00016533739,0.00016686386,0.00020452516,0.00010780784,0.0001952738,8.2552186e-05,5.1041345e-05,0.0001043723
4 (Min),-0.00029536756,-0.00038324497,-0.00032040093,-0.00016397305,-0.00011707474,-5.819506e-05,-7.55558e-05,-8.867184e-05,-0.00015233345,-0.000113878465,-0.00017605493,-0.00018135087,-0.00035819775,-0.000290332,-9.8324424e-05,-0.00010727572,-0.00016355565,-7.4903175e-05,-6.6716435e-05
4 (Q-90%),-1.7603388e-05,-1.9828665e-05,-9.827184e-06,-1.078356e-05,-8.814897e-06,-1.2299575e-05,-1.0712453e-05,-1.9745954e-05,-1.7182818e-05,-1.8119032e-05,-1.1433267e-05,-1.2625159e-05,-1.1452293e-05,-1.2111664e-05,-1.3145448e-05,-1.8434404e-05,-9.809715e-06,-9.445489e-06,-1.0929747e-05
4 (Q2),2.6899215e-07,1.7751285e-07,4.4284775e-08,8.9360725e-08,1.7071892e-07,-3.2672137e-08,2.8910068e-07,-1.9165613e-07,4.820555e-07,3.5885648e-07,1.7724938e-07,9.5920996e-08,2.8523502e-07,4.045451e-08,3.5766612e-07,1.3607638e-07,5.6344177e-08,1.270337e-07,2.5415795e-07
4 (Q-10%),1.5849677e-05,1.6930351e-05,9.785906e-06,1.0970261e-05,8.835921e-06,1.2290872e-05,1.0559856e-05,1.9621588e-05,1.6606726e-05,1.7681461e-05,1.1423994e-05,1.2514988e-05,1.1553453e-05,1.2274912e-05,1.2910755e-05,1.8056106e-05,9.996408e-06,9.455516e-06,1.0694466e-05
4 (Mean),1.8931297e-09,1.0919136e-09,3.9896322e-10,-2.5162266e-09,-1.1393537e-09,-4.1968926e-09,3.1317222e-09,-2.7258655e-09,-3.8525455e-12,-2.7358933e-09,2.884187e-09,3.0584302e-10,3.5640908e-09,-1.3198628e-09,4.885763e-10,-2.3625588e-09,6.877887e-10,2.1032576e-09,4.510782e-10
4 (Std),2.6036585e-05,3.2014264e-05,1.29750315e-05,9.986653e-06,7.921e-06,1.0285938e-05,9.519621e-06,1.6667616e-05,1.4813046e-05,1.5181094e-05,1.1222587e-05,1.2623697e-05,1.15878265e-05,1.0985664e-05,1.1941394e-05,1.5717924e-05,8.885486e-06,8.073682e-06,9.606707e-06
5 (Max),8.155301e-05,9.9359255e-05,8.784544e-05,6.0524053e-05,5.47971e-05,4.372443e-05,0.000108245775,4.1977975e-05,0.0002209061,0.0002481346,0.00013148361,0.00010833327,8.261053e-05,8.279759e-05,9.1075315e-05,7.97507e-05,5.834777e-05,4.796813e-05,5.2510877e-05
5 (Min),-9.7573335e-05,-9.192088e-05,-7.88165e-05,-8.554643e-05,-4.8657417e-05,-4.2801687e-05,-7.35191e-05,-4.7973746e-05,-0.00020735081,-0.0003256333,-0.00012500977,-0.00012461026,-0.00011664975,-7.673763e-05,-0.00010034322,-6.334997e-05,-5.287382e-05,-4.6855675e-05,-4.203991e-05
5 (Q-90%),-1.902336e-05,-2.2182201e-05,-1.5331376e-05,-1.599344e-05,-1.3484564e-05,-1.1244594e-05,-1.3760229e-05,-1.2430728e-05,-2.0978356e-05,-2.0749512e-05,-1.8723395e-05,-2.1870024e-05,-2.2839493e-05,-2.1759746e-05,-2.1240638e-05,-1.8875497e-05,-1.5860267e-05,-1.2860675e-05,-1.1999376e-05
5 (Q2),-1.5715909e-07,6.7218593e-07,-1.7556663e-07,3.8191118e-07,-3.499896e-07,1.4433812e-07,-5.1676585e-07,-2.3827452e-08,-1.9758355e-07,6.395243e-08,-1.9680186e-07,6.9017347e-07,-9.109151e-08,5.4850597e-07,-7.400249e-08,-2.0928528e-07,1.3246266e-07,-1.9683237e-07,-1.5262606e-07
5 (Q-10%),1.9274916e-05,2.0922083e-05,1.5570913e-05,1.547254e-05,1.3916637e-05,1.0985774e-05,1.441229e-05,1.2497642e-05,2.1164597e-05,2.141493e-05,1.9081017e-05,2.0542726e-05,2.28655e-05,2.086756e-05,2.1258162e-05,1.9242092e-05,1.5597414e-05,1.3165405e-05,1.216308e-05
5 (Mean),-2.103329e-09,-9.023428e-10,-3.488972e-10,-2.9933242e-10,1.463127e-09,-1.0234011e-09,2.6691377e-10,-3.941046e-09,7.6983714e-10,1.7459747e-09,2.374185e-09,6.8133793e-10,4.5129505e-09,-2.3754756e-09,1.6134538e-09,-3.112161e-09,-1.6765904e-10,1.5584406e-09,-7.1258927e-10
5 (Std),1.50166325e-05,1.7409948e-05,1.22723795e-05,1.2570758e-05,1.0910041e-05,8.761383e-06,1.188956e-05,9.832924e-06,2.113092e-05,2.2041251e-05,1.5369618e-05,1.7191454e-05,1.7714623e-05,1.6664148e-05,1.6869692e-05,1.4930473e-05,1.2403688e-05,1.0269255e-05,9.589409e-06
6 (Max),0.00027285854,0.0002899254,9.0197515e-05,0.00012376586,5.8804275e-05,0.00014377742,0.00020309656,0.00019948371,0.0001183101,0.00044854943,0.0002461955,0.00020634984,9.904813e-05,0.00012889008,0.00010124668,0.000116721385,0.00011347743,7.64456e-05,0.00011995508
6 (Min),-0.00024302912,-0.0002506248,-9.977477e-05,-0.00011327508,-5.1284354e-05,-0.0001143418,-0.00012472131,-0.0001185946,-0.00011228216,-0.0002983622,-0.0002745402,-0.00022825981,-0.000120450066,-0.0001543372,-0.00012535074,-9.819475e-05,-0.000115697614,-8.2946586e-05,-0.000118985765
