EEG file,Fp1-AVE,Fp2-AVE,F3-AVE,F4-AVE,C3-AVE,C4-AVE,P3-AVE,P4-AVE,O1-AVE,O2-AVE,F7-AVE,F8-AVE,T3-AVE,T4-AVE,T5-AVE,T6-AVE,Fz-AVE,Cz-AVE,Pz-AVE
6 (Max),9.7389646e-05,8.7946726e-05,6.6067514e-05,7.683879e-05,5.019784e-05,3.4997352e-05,6.4143314e-05,4.0429855e-05,7.704353e-05,7.649301e-05,5.6749104e-05,4.312715e-05,7.114828e-05,4.6738787e-05,7.753804e-05,5.6374305e-05,8.034357e-05,6.4748645e-05,5.6717898e-05
6 (Min),-0.0001446516,-0.0001306569,-8.436525e-05,-9.582353e-05,-4.766938e-05,-3.4599638e-05,-4.8195263e-05,-3.8465507e-05,-4.851046e-05,-4.0711544e-05,-5.654523e-05,-7.8722514e-05,-6.262973e-05,-4.2142223e-05,-5.46099e-05,-5.1694577e-05,-0.00011337583,-4.070579e-05,-3.5619352e-05
6 (Q-90%),-1.3046864e-05,-1.3009802e-05,-9.408903e-06,-1.0596935e-05,-8.611926e-06,-7.668327e-06,-9.95202e-06,-8.5985375e-06,-1.3593601e-05,-1.1879246e-05,-1.1010765e-05,-1.0142745e-05,-1.0327085e-05,-9.414737e-06,-1.1580935e-05,-1.0334299e-05,-1.13622045e-05,-8.363017e-06,-9.105468e-06
6 (Q2),5.491468e-07,3.2865802e-07,5.676235e-07,4.97175e-07,7.117538e-08,5.035224e-08,-1.9360783e-07,-1.0941242e-07,-6.2408685e-07,-8.1030856e-07,4.5063138e-07,-1.5833331e-07,-6.498571e-08,-1.5599088e-07,-4.3256432e-07,-3.1178843e-07,9.3643393e-07,3.5828812e-08,-1.9029196e-07
6 (Q-10%),1.5577563e-05,1.3880803e-05,1.0703239e-05,1.1101457e-05,8.4187695e-06,7.2453527e-06,9.139144e-06,7.981772e-06,1.24902845e-05,1.1101274e-05,1.1739403e-05,1.0142682e-05,1.0167151e-05,9.092799e-06,1.079715e-05,9.329767e-06,1.3263324e-05,8.271155e-06,8.183226e-06
6 (Mean),5.3091975e-07,3.6423543e-07,1.5090808e-07,3.1371375e-08,1.895242e-09,-4.7292385e-08,-1.0169371e-07,-1.0627058e-07,-1.8262497e-07,-1.8968333e-07,1.3643091e-07,-8.020192e-08,-6.657956e-08,-1.6008258e-07,-1.381233e-07,-1.8044307e-07,1.0293811e-07,1.9736614e-08,-8.544009e-08
6 (Std),1.6319389e-05,1.4276808e-05,1.052736e-05,1.0914435e-05,7.239724e-06,6.192614e-06,8.798111e-06,7.271843e-06,1.1990061e-05,1.0854472e-05,9.828595e-06,8.547799e-06,9.003018e-06,8.107549e-06,1.0374207e-05,8.778394e-06,1.46273005e-05,7.270369e-06,8.04163e-06
19 (Max),5.4726723e-05,3.9542138e-05,5.082092e-05,2.9239838e-05,4.5444063e-05,5.2002215e-05,3.4744928e-05,3.8400107e-05,4.1877924e-05,3.702729e-05,3.7961418e-05,4.1937517e-05,3.8054535e-05,3.157313e-05,3.0439205e-05,3.3770106e-05,4.5264733e-05,4.7222566e-05,3.631883e-05
19 (Min),-4.650763e-05,-4.7040336e-05,-4.661024e-05,-3.2572563e-05,-5.1088165e-05,-4.6636378e-05,-3.6876238e-05,-3.1072035e-05,-3.3392225e-05,-3.4628913e-05,-5.336481e-05,-3.6354224e-05,-5.2678624e-05,-4.4388013e-05,-4.002689e-05,-3.2327014e-05,-3.6911893e-05,-3.281706e-05,-4.3310814e-05
19 (Q-90%),-1.5410931e-05,-1.4521903e-05,-1.4030374e-05,-1.2320331e-05,-1.40883185e-05,-1.4489109e-05,-1.2310756e-05,-1.1727852e-05,-1.2971293e-05,-1.269493e-05,-1.4611325e-05,-1.3415564e-05,-1.3114181e-05,-1.1438844e-05,-1.1790068e-05,-1.2015219e-05,-1.3237791e-05,-1.1871246e-05,-1.228302e-05
